year,state,division,total_population,fss,homicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,firearm_suicides,total_suicides,firearm_homicides,nonfirearm_homicides,total_homicides,white_fss,nonwhite_fss,nextyearfss,nextyearnonwhitefss,nextyearwhitefss
1950,Connecticut,New England,2007280,0.254237288,1.394922482,0.548005261,0.846917221,60,236,11,17,28,0.235294119,0,0.231060609,0,0.23828125
1950,Delaware,South Atlantic,318085,0.435897436,7.230771649,2.515051008,4.715720641,17,39,8,15,23,0.421052635,1,0.466666669,NA,0.466666669
1950,District of Columbia,South Atlantic,802178,0.27173913,9.848188307,3.116515287,6.73167302,25,92,25,54,79,0.25316456,0.384615391,0.205882356,0.190476194,0.195402294
1950,Florida,South Atlantic,2771305,0.518987342,13.06243809,6.495134963,6.56730313,164,316,180,182,362,0.515151501,0.578947365,0.48456791,0.428571433,0.487096786
1950,Georgia,South Atlantic,3444578,0.674825175,14.77684639,8.651277457,6.125568938,193,286,298,211,509,0.667999983,0.722222209,0.715277791,0.583333313,0.734126985
1950,Idaho,Mountain,588637,0.6,1.528955876,0.849419931,0.679535945,51,85,5,4,9,0.600000024,NA,0.614285707,NA,0.614285707
1950,Illinois,East North Central,8172176,0.398029557,5.102680118,2.520748452,2.581931667,404,1015,206,211,417,0.399795502,0.351351351,0.389074683,0.484848499,0.385416657
1950,Indiana,East North Central,3934224,0.427289048,3.558516241,1.880930013,1.677586228,238,557,74,66,140,0.425688088,0.5,0.461206883,0.5,0.460000008
1950,Iowa,West North Central,2621073,0.481707317,1.335330988,0.648589337,0.686741651,158,328,17,18,35,0.480122328,1,0.401734114,0.666666687,0.399416924
1950,Kansas,West North Central,1905299,0.583690987,3.411538032,2.15189322,1.259644812,136,233,41,24,65,0.578260899,1,0.547717869,0.5,0.548117161
1950,Kentucky,East South Central,2944806,0.559259259,8.625355966,5.738917946,2.88643802,151,270,169,85,254,0.558490574,0.600000024,0.525951564,0.5,0.526501775
1950,Louisiana,West South Central,2683516,0.679347826,9.353400539,4.359951646,4.993448893,125,184,117,134,251,0.695652187,0.565217376,0.635761619,0.449999988,0.664122164
1950,Maine,New England,913774,0.52173913,1.532107501,0.766053751,0.766053751,84,161,7,7,14,0.528301895,0,0.529850721,NA,0.529850721
1950,Maryland,South Atlantic,2343001,0.428571429,6.316685311,3.32906388,2.987621431,117,273,78,70,148,0.435797662,0.3125,0.468354434,0.526315808,0.463302761
1950,Massachusetts,New England,4690514,0.176733781,1.257857881,0.362433627,0.895424254,79,447,17,42,59,0.177272722,0.142857149,0.210643008,0.25,0.209932283
1950,Michigan,East North Central,6371766,0.417142857,3.860782081,1.77344868,2.087333402,292,700,113,133,246,0.4138439,0.523809552,0.411764711,0.285714298,0.417637259
1950,Minnesota,West North Central,2982483,0.438395415,1.240577063,0.368820208,0.871756855,153,349,11,26,37,0.438040346,1,0.382758617,NA,0.382758617
1950,Mississippi,East South Central,2178914,0.722222222,13.81422121,8.352784919,5.461436293,91,126,182,119,301,0.725490212,0.708333313,0.789473712,0.8125,0.786324799
1950,Missouri,West North Central,3954653,0.54756871,5.891793793,3.236693586,2.655100207,259,473,128,105,233,0.550884962,0.5,0.5,0.333333343,0.504901946
1950,Montana,Mountain,591024,0.628099174,3.891550935,2.030374401,1.861176534,76,121,12,11,23,0.625,1,0.573170722,NA,0.573170722
1950,Nebraska,West North Central,1325510,0.475609756,2.942263732,1.508853196,1.433410536,78,164,20,19,39,0.475308657,0.5,0.523178816,0,0.530201316
1950,Nevada,Mountain,160083,0.575,9.37013924,5.622083544,3.748055696,23,40,9,6,15,0.555555582,0.75,0.568627477,1,0.551020384
1950,New Hampshire,New England,533242,0.32183908,1.312724804,0.562596345,0.750128459,28,87,3,4,7,0.325581402,0,0.408602148,NA,0.408602148
1950,New Jersey,Middle Atlantic,4835329,0.201298701,2.481733921,0.785882408,1.695851513,124,616,38,82,120,0.202360883,0.266666681,0.217221141,0.210526317,0.217479676
1950,New Mexico,Mountain,681187,0.573770492,6.165707801,3.816866734,2.348841067,35,61,26,16,42,0.561403513,0.75,0.597014904,0.600000024,0.59677422
1950,New York,Middle Atlantic,14830192,0.187312986,2.67022841,0.647328099,2.02290031,313,1671,96,300,396,0.187112764,0.19298245,0.202797204,0.104477614,0.207630232
1950,North Carolina,South Atlantic,4061929,0.686781609,9.355161058,5.957760463,3.397400595,239,348,242,138,380,0.698630154,0.625,0.681506872,0.606060624,0.691119671
1950,North Dakota,West North Central,619636,0.365079365,0.484155214,0.161385071,0.322770142,23,63,1,2,3,0.534883738,NA,0.475409836,NA,0.475409836
1950,Ohio,East North Central,7946627,0.430463576,4.052033649,1.925345181,2.126688468,390,906,153,169,322,0.432648391,0.37931034,0.436269432,0.454545468,0.435622305
1950,Oklahoma,West South Central,2233351,0.528795812,4.432800755,2.686545912,1.746254843,101,191,60,39,99,0.53513515,0.333333343,0.664772749,0.5,0.670588255
1950,Oregon,Pacific,1521341,0.536796537,3.155111182,1.77475004,1.380361142,124,231,27,21,48,0.544247806,0.200000003,0.46808511,0,0.480349332
1950,Pennsylvania,Middle Atlantic,10498012,0.371480472,2.705274103,1.152599178,1.552674926,409,1101,121,163,284,0.366262823,0.571428597,0.356417358,0.216216221,0.361376673
1950,Rhode Island,New England,791896,0.257575758,1.515350501,0.631396042,0.883954459,17,66,5,7,12,0.25,0.5,0.194444448,1,0.183098584
1950,South Carolina,South Atlantic,2117027,0.751824818,10.76982013,6.849227714,3.920592416,103,137,145,83,228,0.739495814,0.833333313,0.753846169,0.916666687,0.737288117
1950,South Dakota,West North Central,652740,0.552238806,1.072402488,0.612801422,0.459601066,37,67,4,3,7,0.55384618,0.5,0.432835817,NA,0.432835817
1950,Tennessee,East South Central,3291718,0.652014652,9.144161195,5.772061884,3.372099311,178,273,190,111,301,0.645038188,0.818181813,0.574999988,0.681818187,0.56422019
